PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME
1630235,2020-21,00,1610612762,UTA,23.0,30,0,302.0,32,71,0.451,5,26,0.192,19,19,1.0,11,33,44,45,9,4,21,22,88,Trent Forrest
1630235,2021-22,00,1610612762,UTA,24.0,60,6,766.0,76,155,0.49,5,27,0.185,38,48,0.792,23,76,99,106,30,6,48,43,195,Trent Forrest
1630235,2022-23,00,1610612737,ATL,24.0,8,0,62.0,5,10,0.5,0,0,0.0,0,0,0.0,2,5,7,9,2,0,2,4,10,Trent Forrest
