PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME
1630214,2020-21,00,1610612763,MEM,22.0,59,12,1085.0,167,299,0.559,22,65,0.338,34,53,0.642,74,182,256,75,44,33,45,116,390,Xavier Tillman
1630214,2021-22,00,1610612763,MEM,23.0,53,2,701.0,98,216,0.454,10,49,0.204,46,71,0.648,66,95,161,62,49,15,34,63,252,Xavier Tillman
1630214,2022-23,00,1610612763,MEM,23.0,9,0,94.0,13,24,0.542,1,4,0.25,3,10,0.3,11,12,23,6,1,2,7,8,30,Xavier Tillman
