PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME
1630197,2020-21,00,1610612760,OKC,19.0,45,28,1090.0,139,408,0.341,58,207,0.28,31,42,0.738,30,182,212,97,20,42,99,58,367,Aleksej Pokusevski
1630197,2021-22,00,1610612760,OKC,20.0,61,12,1233.0,186,456,0.408,57,197,0.289,35,50,0.7,73,245,318,131,39,38,94,88,464,Aleksej Pokusevski
1630197,2022-23,00,1610612760,OKC,20.0,19,15,436.0,72,154,0.468,26,63,0.413,11,19,0.579,32,62,94,31,13,31,26,34,181,Aleksej Pokusevski
