PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME
1630167,2020-21,00,1610612752,NYK,23.0,62,0,683.0,104,209,0.498,26,85,0.306,19,26,0.731,26,112,138,29,17,15,23,55,253,Obi Toppin
1630167,2021-22,00,1610612752,NYK,24.0,72,10,1230.0,251,473,0.531,52,169,0.308,94,124,0.758,69,199,268,77,25,33,56,102,648,Obi Toppin
1630167,2022-23,00,1610612752,NYK,24.0,22,0,386.0,68,156,0.436,33,89,0.371,11,13,0.846,14,68,82,23,9,5,18,26,180,Obi Toppin
