PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME
1629002,2018-19,00,1610612759,SAS,22.0,29,0,145.0,19,58,0.328,0,2,0.0,13,17,0.765,9,27,36,13,6,2,15,14,51,Chimezie Metu
1629002,2019-20,00,1610612759,SAS,23.0,18,0,105.0,24,42,0.571,0,2,0.0,10,13,0.769,12,21,33,10,3,6,10,7,58,Chimezie Metu
1629002,2020-21,00,1610612758,SAC,24.0,36,6,488.0,91,179,0.508,13,37,0.351,31,43,0.721,31,81,112,28,14,18,29,59,226,Chimezie Metu
1629002,2021-22,00,1610612758,SAC,25.0,60,20,1279.0,203,449,0.452,57,186,0.306,71,91,0.78,34,301,335,60,51,32,61,93,534,Chimezie Metu
1629002,2022-23,00,1610612758,SAC,25.0,16,0,200.0,37,64,0.578,3,16,0.188,10,11,0.909,11,41,52,11,5,3,10,18,87,Chimezie Metu
