PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME
1630264,2020-21,00,1610612764,WAS,28.0,26,4,218.0,30,60,0.5,7,24,0.292,13,16,0.813,16,35,51,11,10,4,8,27,80,Anthony Gill
1630264,2021-22,00,1610612764,WAS,29.0,44,0,463.0,62,109,0.569,14,26,0.538,42,52,0.808,33,52,85,27,5,11,18,58,180,Anthony Gill
1630264,2022-23,00,1610612764,WAS,30.0,18,4,228.0,26,47,0.553,2,12,0.167,9,11,0.818,13,20,33,10,4,4,4,27,63,Anthony Gill
