PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME
1630182,2020-21,00,1610612742,DAL,20.0,39,5,445.0,42,93,0.452,4,25,0.16,13,23,0.565,28,50,78,28,16,3,17,35,101,Josh Green
1630182,2021-22,00,1610612742,DAL,21.0,67,3,1039.0,130,256,0.508,28,78,0.359,31,45,0.689,52,109,161,79,45,14,44,115,319,Josh Green
1630182,2022-23,00,1610612742,DAL,22.0,21,1,406.0,48,80,0.6,22,46,0.478,25,37,0.676,18,28,46,18,19,1,15,53,143,Josh Green
