PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME
1630201,2020-21,00,1610612761,TOR,23.0,47,14,928.0,127,340,0.374,54,168,0.321,45,56,0.804,10,106,116,137,38,7,43,68,353,Malachi Flynn
1630201,2021-22,00,1610612761,TOR,24.0,44,5,537.0,72,183,0.393,30,90,0.333,15,24,0.625,10,53,63,70,20,4,13,45,189,Malachi Flynn
1630201,2022-23,00,1610612761,TOR,24.0,14,1,164.0,28,68,0.412,16,35,0.457,10,11,0.909,2,16,18,18,6,1,8,22,82,Malachi Flynn
