PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME
1630559,2021-22,00,1610612747,LAL,24.0,61,19,1418.0,146,318,0.459,53,167,0.317,99,118,0.839,45,148,193,110,29,20,40,87,444,Austin Reaves
1630559,2022-23,00,1610612747,LAL,24.0,20,8,575.0,67,124,0.54,23,58,0.397,60,66,0.909,15,51,66,42,9,7,21,30,217,Austin Reaves
