PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME
1630172,2020-21,00,1610612741,CHI,19.0,71,71,1983.0,255,528,0.483,54,138,0.391,91,125,0.728,66,261,327,99,64,46,98,126,655,Patrick Williams
1630172,2021-22,00,1610612741,CHI,20.0,17,9,422.0,54,102,0.529,15,29,0.517,30,41,0.732,17,52,69,15,9,9,16,28,153,Patrick Williams
1630172,2022-23,00,1610612741,CHI,21.0,21,21,544.0,70,154,0.455,27,62,0.435,26,28,0.929,23,61,84,18,15,21,32,40,193,Patrick Williams
