PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME
1629637,2019-20,00,1610612740,NOP,20.0,64,14,1080.0,174,259,0.672,1,4,0.25,123,190,0.647,97,162,259,56,26,55,53,161,472,Jaxson Hayes
1629637,2020-21,00,1610612740,NOP,21.0,60,3,964.0,175,280,0.625,6,14,0.429,93,120,0.775,92,165,257,35,25,38,39,101,449,Jaxson Hayes
1629637,2021-22,00,1610612740,NOP,22.0,70,28,1398.0,245,398,0.616,20,57,0.351,144,188,0.766,115,200,315,43,33,55,54,155,654,Jaxson Hayes
1629637,2022-23,00,1610612740,NOP,22.0,9,0,67.0,3,16,0.188,0,8,0.0,4,7,0.571,3,13,16,5,3,1,3,6,10,Jaxson Hayes
